
Organizers 	 O
Iran 	 COU
aimed 	 O
at 	 O
enhancing 	 O
economic 	 O
ties 	 O
between 	 O
the 	 O
two 	 O
nations 	 O
. 	 O
Iraq 	 COU
and 	 O
Iran 	 COU
fought 	 O
a 	 O
bloody 	 O
war 	 O
in 	 O
the 	 O
1980s 	 O
when 	 O
then-Iraqi 	 O
leader 	 O
Saddam 	 PER
Hussein 	 PER
was 	 O
in 	 O
power 	 O
. 	 O
The 	 O
neighboring 	 O
countries 	 O
have 	 O
tried 	 O
to 	 O
build 	 O
closer 	 O
ties 	 O
in 	 O
recent 	 O
years 	 O
. 	 O

When 	 O
talking 	 O
about 	 O
paintings 	 O
and 	 O
contemporary 	 O
art 	 O
, 	 O
names 	 O
such 	 O
as 	 O
Pablo 	 PER
Picasso 	 PER
, 	 O
Georgia 	 PER
O'Keeffe 	 PER
, 	 O
Vincent 	 PER
Van 	 PER
Gogh 	 PER
and 	 O
others 	 O
often 	 O
come 	 O
to 	 O
mind 	 O
. 	 O
But 	 O
, 	 O
as 	 O
we 	 O
are 	 O
about 	 O
to 	 O
show 	 O
you 	 O
, 	 O
there 	 O
is 	 O
a 	 O
whole 	 O
body 	 O
of 	 O
artwork 	 O
on 	 O
Africa 	 O
, 	 O
by 	 O
European 	 O
and 	 O
African 	 O
artists 	 O
that 	 O
is 	 O
largely 	 O
unknown 	 O
. 	 O
Primimoda 	 ORG
Gallery 	 ORG
, 	 O
located 	 O
in 	 O
the 	 O
heart 	 O
of 	 O
Washington 	 CIT
, 	 O
is 	 O
where 	 O
you 	 O
will 	 O
find 	 O
this 	 O
art 	 O
. 	 O
Ndimyake 	 PER
Mwakalyelye 	 PER
tells 	 O
us 	 O
more 	 O
. 	 O

Afghan 	 COU
officials 	 O
say 	 O
10 	 O
Taliban 	 ORG
militants 	 O
have 	 O
been 	 O
arrested 	 O
for 	 O
an 	 O
acid 	 O
attack 	 O
on 	 O
schoolgirls 	 O
and 	 O
teachers 	 O
in 	 O
southern 	 O
Afghanistan 	 COU
. 	 O
Officials 	 O
say 	 O
militants 	 O
on 	 O
motorbikes 	 O
attacked 	 O
the 	 O
girls 	 O
and 	 O
teachers 	 O
as 	 O
they 	 O
walked 	 O
to 	 O
school 	 O
in 	 O
the 	 O
southern 	 O
city 	 O
of 	 O
Kandahar 	 COU
earlier 	 O
this 	 O
month 	 O
. 	 O
Several 	 O
girls 	 O
suffered 	 O
facial 	 O
burns 	 O
and 	 O
were 	 O
hospitalized 	 O
. 	 O
A 	 O
Taliban 	 ORG
spokesman 	 O
earlier 	 O
denied 	 O
responsibility 	 O
for 	 O
the 	 O
attack 	 O
. 	 O
Under 	 O
Taliban 	 ORG
rule 	 O
, 	 O
girls 	 O
were 	 O
banned 	 O
from 	 O
school 	 O
and 	 O
were 	 O
only 	 O
allowed 	 O
to 	 O
leave 	 O
the 	 O
house 	 O
accompanied 	 O
by 	 O
a 	 O
male 	 O
relative 	 O
. 	 O
The 	 O
Afghan 	 COU
government 	 O
has 	 O
accused 	 O
Taliban 	 ORG
militants 	 O
of 	 O
attacking 	 O
dozens 	 O
of 	 O
schools 	 O
and 	 O
teachers 	 O
. 	 O

Salvadoran 	 O
lawmakers 	 O
have 	 O
approved 	 O
the 	 O
extension 	 O
of 	 O
their 	 O
country 	 O
's 	 O
military 	 ORG
mission 	 O
in 	 O
Iraq 	 COU
. 	 O
They 	 O
voted 	 O
late 	 O
Thursday 	 O
to 	 O
keep 	 O
soldiers 	 O
in 	 O
the 	 O
war-torn 	 O
country 	 O
for 	 O
humanitarian 	 O
and 	 O
reconstruction 	 O
work 	 O
for 	 O
another 	 O
year 	 O
. 	 O
El 	 COU
Salvador 	 COU
is 	 O
the 	 O
last 	 O
Latin 	 O
American 	 O
country 	 O
with 	 O
military 	 ORG
forces 	 O
in 	 O
Iraq 	 COU
. 	 O
Honduras 	 CIT
, 	 O
Nicaragua 	 COU
and 	 O
the 	 O
Dominican 	 COU
Republic 	 COU
have 	 O
withdrawn 	 O
their 	 O
troops 	 O
. 	 O
El 	 COU
Salvador 	 COU
sent 	 O
its 	 O
first 	 O
group 	 O
of 	 O
more 	 O
than 	 O
350 	 O
soldiers 	 O
to 	 O
Iraq 	 COU
in 	 O
August 	 O
2003 	 O
. 	 O

Israeli 	 O
security 	 O
officials 	 O
say 	 O
they 	 O
re-arrested 	 O
nuclear-whistle 	 O
blower 	 O
Mordechai 	 PER
Vanunu 	 PER
early 	 O
Thursday 	 O
. 	 O
Officials 	 O
say 	 O
Vanunu 	 PER
is 	 O
suspected 	 O
of 	 O
giving 	 O
unauthorized 	 O
information 	 O
to 	 O
foreigners 	 O
. 	 O
He 	 O
was 	 O
set 	 O
free 	 O
in 	 O
April 	 O
, 	 O
after 	 O
serving 	 O
18 	 O
years 	 O
in 	 O
prison 	 O
for 	 O
divulging 	 O
classified 	 O
information 	 O
about 	 O
Israel 	 O
's 	 O
nuclear 	 O
program 	 O
to 	 O
the 	 ENT
London 	 ENT
Sunday 	 https://en.wikipedia.org/wiki/The_Sunday_Times
Times 	 https://en.wikipedia.org/wiki/The_Sunday_Times
. 	 O
Under 	 O
conditions 	 O
of 	 O
his 	 O
release 	 O
, 	 O
Vanunu 	 PER
is 	 O
still 	 O
barred 	 O
from 	 O
leaving 	 O
the 	 O
country 	 O
or 	 O
discussing 	 O
Israel 	 O
's 	 O
nuclear 	 O
program 	 O
. 	 O
His 	 O
contacts 	 O
with 	 O
foreigners 	 O
also 	 O
are 	 O
restricted 	 O
. 	 O

Turkey 	 COU
has 	 O
detained 	 O
10 	 O
people 	 O
with 	 O
suspected 	 O
links 	 O
to 	 O
the 	 O
al-Qaida 	 ORG
terrorist 	 ORG
network 	 ORG
. 	 O
Among 	 O
those 	 O
arrested 	 O
was 	 O
a 	 O
lawyer 	 O
who 	 O
identified 	 O
himself 	 O
as 	 O
the 	 O
leader 	 O
of 	 O
the 	 O
group 	 O
in 	 O
Turkey 	 COU
. 	 O
The 	 ORG
official 	 ORG
Anatolia 	 ORG
news 	 ORG
agency 	 ORG
said 	 O
Saturday 	 O
the 	 O
suspects 	 O
were 	 O
detained 	 O
in 	 O
simultaneous 	 O
operations 	 O
begun 	 O
in 	 O
November 	 O
in 	 O
the 	 O
capital 	 O
, 	 O
Ankara 	 CIT
, 	 O
Istanbul 	 CIT
and 	 O
the 	 O
western 	 O
city 	 O
of 	 O
Izmir 	 CIT
. 	 O
Turkey 	 COU
has 	 O
suffered 	 O
several 	 O
attacks 	 O
blamed 	 O
on 	 O
al-Qaida 	 ORG
. 	 O
In 	 O
November 	 O
2003 	 O
, 	 O
more 	 O
than 	 O
60 	 O
people 	 O
were 	 O
killed 	 O
in 	 O
bombings 	 O
of 	 O
two 	 O
synagogues 	 O
, 	 O
the 	 ORG
British 	 ORG
Consulate 	 ORG
and 	 O
a 	 O
bank 	 O
office 	 O
in 	 O
Istanbul 	 CIT
. 	 O

Heavy 	 O
rains 	 O
in 	 O
Brazil 	 COU
have 	 O
caused 	 O
deadly 	 O
mudslides 	 O
that 	 O
have 	 O
killed 	 O
at 	 O
least 	 O
seven 	 O
people 	 O
, 	 O
mostly 	 O
children 	 O
. 	 O
Authorities 	 O
say 	 O
the 	 O
victims 	 O
lived 	 O
in 	 O
a 	 O
shantytown 	 O
in 	 O
the 	 O
industrial 	 O
suburb 	 O
of 	 O
Sao 	 COU
Bernardo 	 COU
do 	 COU
Campo 	 COU
, 	 O
near 	 O
the 	 O
city 	 O
of 	 O
Sao 	 CIT
Paulo 	 CIT
. 	 O
Torrential 	 O
rains 	 O
have 	 O
lashed 	 O
the 	 O
Sao 	 CIT
Paulo 	 CIT
region 	 O
since 	 O
Tuesday 	 O
. 	 O

Researchers 	 O
say 	 O
it 	 O
is 	 O
safe 	 O
for 	 O
children 	 O
to 	 O
get 	 O
the 	 O
vaccine 	 O
for 	 O
measles 	 O
, 	 O
mumps 	 O
and 	 O
rubella 	 O
without 	 O
a 	 O
risk 	 O
of 	 O
developing 	 O
autism 	 O
. 	 O
Ten 	 O
years 	 O
ago 	 O
, 	 O
another 	 O
study 	 O
concluded 	 O
there 	 O
might 	 O
be 	 O
a 	 O
connection 	 O
. 	 O
That 	 O
study 	 O
was 	 O
later 	 O
retracted 	 O
, 	 O
but 	 O
the 	 O
fear 	 O
lived 	 O
on 	 O
. 	 O
Now 	 O
new 	 O
research 	 O
provides 	 O
strong 	 O
evidence 	 O
against 	 O
any 	 O
association 	 O
. 	 O
VOA 	 O
's 	 O
Carol 	 PER
Pearson 	 PER
has 	 O
more 	 O
. 	 O

A 	 O
group 	 O
of 	 O
independent 	 O
policymakers 	 O
and 	 O
economists 	 O
say 	 O
economic 	 O
growth 	 O
is 	 O
within 	 O
reach 	 O
of 	 O
developing 	 O
countries 	 O
if 	 O
they 	 O
adopt 	 O
the 	 O
right 	 O
policies 	 O
. 	 O
The 	 ORG
World 	 ORG
Bank 	 ORG
's 	 ORG
Commission 	 ORG
on 	 ORG
Growth 	 ORG
and 	 ORG
Development 	 ORG
has 	 O
released 	 O
a 	 O
new 	 O
report 	 O
, 	 O
which 	 O
says 	 O
developing 	 O
countries 	 O
can 	 O
achieve 	 O
fast 	 O
, 	 O
sustained 	 O
and 	 O
equitable 	 O
growth 	 O
, 	 O
providing 	 O
they 	 O
use 	 O
formulas 	 O
used 	 O
by 	 O
other 	 O
successful 	 O
economies 	 O
. 	 O
VOA 	 ORG
's 	 O
Mil 	 PER
Arcega 	 PER
reports 	 O
. 	 O

Police 	 O
in 	 O
Iran 	 COU
say 	 O
a 	 O
fire 	 O
at 	 O
a 	 O
mosque 	 O
in 	 O
central 	 O
Tehran 	 O
has 	 O
killed 	 O
at 	 O
least 	 O
59 	 O
people 	 O
and 	 O
injured 	 O
more 	 O
than 	 O
200 	 O
others 	 O
. 	 O
Iranian 	 COU
state 	 O
media 	 O
said 	 O
a 	 O
faulty 	 O
electrical 	 O
heater 	 O
sparked 	 O
the 	 O
blaze 	 O
as 	 O
crowds 	 O
gathered 	 O
in 	 O
the 	 O
Arg 	 O
Mosque 	 O
for 	 O
a 	 O
major 	 O
Shi'ite 	 O
religious 	 O
festival 	 O
, 	 O
Ashura 	 O
. 	 O
Eyewitnesses 	 O
said 	 O
panicked 	 O
crowds 	 O
rushed 	 O
for 	 O
the 	 O
exits 	 O
and 	 O
some 	 O
people 	 O
jumped 	 O
through 	 O
windows 	 O
to 	 O
escape 	 O
the 	 O
flames 	 O
. 	 O

All 	 O
20 	 O
people 	 O
aboard 	 O
a 	 O
Sudanese 	 COU
military 	 O
plane 	 O
were 	 O
killed 	 O
when 	 O
it 	 O
crashed 	 O
on 	 O
landing 	 O
in 	 O
southern 	 O
Sudan 	 COU
on 	 O
Saturday 	 O
. 	 O
Officials 	 O
with 	 O
Sudan 	 COU
's 	 O
military 	 O
say 	 O
the 	 O
plane 	 O
blew 	 O
a 	 O
tire 	 O
when 	 O
it 	 O
touched 	 O
down 	 O
, 	 O
causing 	 O
it 	 O
to 	 O
swerve 	 O
off 	 O
the 	 O
runway 	 O
and 	 O
explode 	 O
. 	 O
The 	 O
accident 	 O
happened 	 O
Saturday 	 O
morning 	 O
in 	 O
the 	 O
town 	 O
of 	 O
Aweil 	 CIT
, 	 O
800 	 O
kilometers 	 O
southwest 	 O
of 	 O
Khartoum 	 CIT
. 	 O
There 	 O
were 	 O
seven 	 O
crew 	 O
members 	 O
and 	 O
13 	 O
passengers 	 O
on 	 O
the 	 O
plane 	 O
. 	 O

After 	 O
three 	 O
decades 	 O
as 	 O
part 	 O
of 	 O
the 	 O
UN 	 O
Trust 	 O
Territory 	 O
of 	 O
the 	 O
Pacific 	 NAT
under 	 O
US 	 O
administration 	 O
, 	 O
this 	 O
westernmost 	 O
cluster 	 O
of 	 O
the 	 O
Caroline 	 COU
Islands 	 COU
opted 	 O
for 	 O
independence 	 O
in 	 O
1978 	 O
rather 	 O
than 	 O
join 	 O
the 	 O
Federated 	 COU
States 	 COU
of 	 COU
Micronesia 	 COU
. 	 O
A 	 O
Compact 	 O
of 	 O
Free 	 O
Association 	 O
with 	 O
the 	 O
US 	 COU
was 	 O
approved 	 O
in 	 O
1986 	 O
but 	 O
not 	 O
ratified 	 O
until 	 O
1993 	 O
. 	 O
It 	 O
entered 	 O
into 	 O
force 	 O
the 	 O
following 	 O
year 	 O
when 	 O
the 	 O
islands 	 O
gained 	 O
independence 	 O
. 	 O

Google 	 ORG
, 	 O
one 	 O
of 	 O
the 	 O
Internet 	 O
's 	 O
most 	 O
successful 	 O
companies 	 O
, 	 O
is 	 O
gearing 	 O
up 	 O
to 	 O
compete 	 O
better 	 O
with 	 O
its 	 O
popular 	 O
rival 	 O
, 	 O
Facebook 	 ORG
. 	 O
The 	 ENT
Wall 	 ENT
Street 	 ENT
Journal 	 ENT
reports 	 O
Google 	 ORG
is 	 O
holding 	 O
talks 	 O
with 	 O
makers 	 O
of 	 O
on-line 	 O
games 	 O
in 	 O
the 	 O
hope 	 O
of 	 O
boosting 	 O
profits 	 O
by 	 O
offering 	 O
a 	 O
new 	 O
service 	 O
to 	 O
its 	 O
many 	 O
customers 	 O
. 	 O
Advertisers 	 O
pay 	 O
the 	 O
Internet 	 O
giants 	 O
for 	 O
the 	 O
right 	 O
to 	 O
post 	 O
advertising 	 O
that 	 O
reaches 	 O
the 	 O
hundreds 	 O
of 	 O
millions 	 O
of 	 O
people 	 O
who 	 O
use 	 O
the 	 O
services 	 O
. 	 O
The 	 O
fast-growing 	 O
on-line 	 O
gaming 	 O
sector 	 O
of 	 O
the 	 O
industry 	 O
could 	 O
boost 	 O
revenue 	 O
by 	 O
attracting 	 O
larger 	 O
audiences 	 O
and 	 O
holding 	 O
them 	 O
for 	 O
a 	 O
longer 	 O
time 	 O
. 	 O

President 	 PER
Bush 	 PER
says 	 O
U.S. 	 COU
and 	 O
Iraqi 	 O
forces 	 O
have 	 O
delivered 	 O
justice 	 O
to 	 O
the 	 O
most 	 O
wanted 	 O
terrorist 	 PER
in 	 O
Iraq 	 COU
- 	 O
Abu 	 PER
Musab 	 PER
al-Zarqawi 	 PER
. 	 O
Mr. 	 O
Bush 	 PER
said 	 O
at 	 O
the 	 O
White 	 O
House 	 O
that 	 O
Zarqawi 	 PER
will 	 O
never 	 O
murder 	 O
again 	 O
, 	 O
and 	 O
that 	 O
his 	 O
death 	 O
is 	 O
a 	 O
severe 	 O
blow 	 O
to 	 O
al-Qaida 	 ORG
. 	 O
The 	 O
president 	 PER
said 	 O
Zarqawi 	 PER
personally 	 O
led 	 O
a 	 O
campaign 	 O
of 	 O
beheadings 	 O
, 	 O
killings 	 O
, 	 O
and 	 O
suicide 	 O
attacks 	 O
. 	 O
However 	 O
, 	 O
Mr. 	 O
Bush 	 PER
warned 	 O
that 	 O
the 	 O
terrorists 	 O
will 	 O
try 	 O
to 	 O
continue 	 O
without 	 O
Zarqawi 	 PER
, 	 O
and 	 O
vowed 	 O
that 	 O
the 	 O
U.S. 	 COU
mission 	 O
in 	 O
Iraq 	 COU
will 	 O
continue 	 O
. 	 O

A 	 O
strong 	 O
earthquake 	 O
has 	 O
hit 	 O
southern 	 O
Iran 	 COU
. 	 O
Officials 	 O
expect 	 O
some 	 O
damage 	 O
, 	 O
but 	 O
there 	 O
are 	 O
no 	 O
reports 	 O
of 	 O
casualties 	 O
. 	 O
Iranian 	 COU
officials 	 O
say 	 O
the 	 O
magnitude 	 O
six 	 O
quake 	 O
was 	 O
centered 	 O
in 	 O
a 	 O
lightly- 	 O
populated 	 O
rural 	 O
area 	 O
north 	 O
of 	 O
Bandar 	 CIT
Abbas 	 CIT
, 	 O
a 	 O
major 	 O
port 	 O
on 	 O
the 	 O
Persian 	 NAT
Gulf 	 NAT
. 	 O
Iran 	 COU
's 	 O
state-run 	 O
news 	 O
agency 	 O
reported 	 O
at 	 O
least 	 O
two 	 O
aftershocks 	 O
, 	 O
the 	 O
strongest 	 O
measuring 	 O
4.8 	 O
magnitude 	 O
. 	 O
Last 	 O
November 	 O
, 	 O
a 	 O
quake 	 O
of 	 O
5.9 	 O
magnitude 	 O
struck 	 O
Qeshm 	 NAT
island 	 NAT
, 	 O
south 	 O
of 	 O
Bandar 	 CIT
Abbas 	 CIT
, 	 O
killing 	 O
nine 	 O
people 	 O
and 	 O
injuring 	 O
scores 	 O
of 	 O
others 	 O
. 	 O

Ethiopia 	 COU
has 	 O
reported 	 O
18 	 O
new 	 O
cases 	 O
of 	 O
polio 	 O
as 	 O
it 	 O
begins 	 O
a 	 O
nationwide 	 O
vaccination 	 O
program 	 O
targeting 	 O
more 	 O
than 	 O
16 	 O
million 	 O
children 	 O
under 	 O
the 	 O
age 	 O
of 	 O
five 	 O
. 	 O
A 	 O
health 	 O
ministry 	 O
official 	 O
says 	 O
the 	 O
polio 	 O
cases 	 O
were 	 O
found 	 O
in 	 O
the 	 O
Tigray 	 COU
, 	 O
Amhara 	 COU
and 	 O
Oromia 	 COU
regions 	 O
. 	 O
The 	 O
country 	 O
kicked 	 O
off 	 O
its 	 O
polio 	 O
immunization 	 O
campaign 	 O
on 	 O
Wednesday 	 O
with 	 O
over 	 O
100,000 	 O
volunteers 	 O
and 	 O
health 	 O
workers 	 O
taking 	 O
part 	 O
. 	 O
Polio 	 O
has 	 O
spread 	 O
in 	 O
Africa 	 O
and 	 O
elsewhere 	 O
as 	 O
far 	 O
as 	 O
Indonesia 	 COU
following 	 O
a 	 O
2003 	 O
boycott 	 O
of 	 O
immunizations 	 O
by 	 O
Islamic 	 O
leaders 	 O
in 	 O
northern 	 O
Nigeria 	 COU
. 	 O
They 	 O
claimed 	 O
the 	 O
vaccine 	 O
was 	 O
contaminated 	 O
. 	 O

El 	 COU
Salvador 	 COU
achieved 	 O
independence 	 O
from 	 O
Spain 	 COU
in 	 O
1821 	 O
and 	 O
from 	 O
the 	 O
Central 	 COU
American 	 COU
Federation 	 COU
in 	 O
1839 	 O
. 	 O
A 	 O
12-year 	 O
civil 	 O
war 	 O
, 	 O
which 	 O
cost 	 O
about 	 O
75,000 	 O
lives 	 O
, 	 O
was 	 O
brought 	 O
to 	 O
a 	 O
close 	 O
in 	 O
1992 	 O
when 	 O
the 	 O
government 	 O
and 	 O
leftist 	 O
rebels 	 O
signed 	 O
a 	 O
treaty 	 O
that 	 O
provided 	 O
for 	 O
military 	 O
and 	 O
political 	 O
reforms 	 O
. 	 O

Argentina 	 COU
has 	 O
designated 	 O
China 	 O
as 	 O
a 	 O
" 	 O
market 	 O
economy 	 O
, 	 O
" 	 O
a 	 O
move 	 O
that 	 O
will 	 O
limit 	 O
the 	 O
South 	 COU
American 	 COU
country 	 O
's 	 O
ability 	 O
to 	 O
impose 	 O
anti-dumping 	 O
sanctions 	 O
on 	 O
Chinese 	 COU
exports 	 O
. 	 O
The 	 O
decision 	 O
comes 	 O
after 	 O
China 	 COU
and 	 O
Argentina 	 COU
signed 	 O
accords 	 O
that 	 O
could 	 O
bring 	 O
more 	 O
than 	 O
$ 	 O
20 	 O
billion 	 O
in 	 O
Chinese 	 COU
investment 	 O
to 	 O
Argentina 	 COU
over 	 O
the 	 O
next 	 O
10 	 O
years 	 O
. 	 O
Brazil 	 COU
also 	 O
granted 	 O
China 	 COU
" 	 O
market 	 O
economy 	 O
" 	 O
status 	 O
during 	 O
a 	 O
visit 	 O
by 	 O
Chinese 	 COU
President 	 O
Hu 	 PER
Jintao 	 PER
last 	 O
week 	 O
. 	 O
On 	 O
Wednesday 	 O
, 	 O
Argentina 	 COU
's 	 O
agriculture 	 O
department 	 O
announced 	 O
that 	 O
China 	 COU
will 	 O
increase 	 O
imports 	 O
of 	 O
Argentine 	 COU
beef 	 O
, 	 O
apples 	 O
and 	 O
pears 	 O
over 	 O
the 	 O
next 	 O
few 	 O
years 	 O
. 	 O

Authorities 	 O
in 	 O
Haiti 	 COU
have 	 O
killed 	 O
at 	 O
least 	 O
one 	 O
person 	 O
during 	 O
a 	 O
protest 	 O
by 	 O
supporters 	 O
of 	 O
ousted 	 O
former 	 O
President 	 O
Jean-Bertrand 	 PER
Aristide 	 PER
. 	 O
Thousands 	 O
of 	 O
protesters 	 O
marched 	 O
in 	 O
the 	 O
Bel-air 	 O
section 	 O
of 	 O
Port-au-Prince 	 CIT
to 	 O
demand 	 O
the 	 O
return 	 O
Mr. 	 PER
Aristide 	 PER
, 	 O
who 	 O
has 	 O
been 	 O
in 	 O
exile 	 O
in 	 O
South 	 COU
Africa 	 COU
since 	 O
last 	 O
February 	 O
. 	 O
Authorities 	 O
opened 	 O
fire 	 O
on 	 O
the 	 O
crowd 	 O
as 	 O
they 	 O
entered 	 O
an 	 O
intersection 	 O
in 	 O
Bel- 	 CIT
air 	 CIT
. 	 O
Few 	 O
other 	 O
details 	 O
were 	 O
given 	 O
. 	 O
Violence 	 O
in 	 O
Port-au-Prince 	 CIT
's 	 O
pro-Aristide 	 O
slums 	 O
has 	 O
killed 	 O
more 	 O
than 	 O
200 	 O
people 	 O
in 	 O
the 	 O
last 	 O
four 	 O
months 	 O
. 	 O

Billboard 	 ENT
magazine 	 ENT
lists 	 O
the 	 O
band 	 O
Chicago 	 ENT
as 	 O
the 	 O
leading 	 O
singles 	 O
chart 	 O
group 	 O
of 	 O
the 	 O
1970s 	 O
. 	 O
With 	 O
more 	 O
than 	 O
21 	 O
million-selling 	 O
albums 	 O
, 	 O
Chicago 	 ENT
has 	 O
secured 	 O
a 	 O
place 	 O
in 	 O
music 	 O
history 	 O
. 	 O
With 	 O
its 	 O
legendary 	 O
horn 	 O
section 	 O
and 	 O
distinctive 	 O
vocals 	 O
, 	 O
Chicago 	 ENT
remains 	 O
one 	 O
of 	 O
the 	 O
longest-running 	 O
and 	 O
most-successful 	 O
pop/rock 	 O
groups 	 O
. 	 O
VOA 	 ENT
's 	 O
Larry 	 PER
London 	 PER
had 	 O
the 	 O
opportunity 	 O
to 	 O
talk 	 O
with 	 O
founder 	 PER
and 	 O
lead 	 O
singer 	 PER
Robert 	 PER
Lamm 	 PER
, 	 O
and 	 O
trumpet 	 O
player 	 O
Lee 	 PER
Loughnane 	 PER
at 	 O
Wolf 	 NAT
Trap 	 NAT
National 	 NAT
Park 	 NAT
for 	 NAT
the 	 NAT
Performing 	 NAT
Arts 	 NAT
in 	 O
Vienna 	 CIT
, 	 O
Virginia 	 COU
. 	 O

Brazilian 	 O
police 	 ORG
say 	 O
they 	 O
have 	 O
broken 	 O
up 	 O
a 	 O
smuggling 	 O
network 	 O
, 	 O
involving 	 O
foreign 	 O
diplomats 	 O
from 	 O
at 	 O
least 	 O
five 	 O
embassies 	 O
. 	 O
Police 	 ORG
say 	 O
the 	 O
foreign 	 O
envoys 	 O
used 	 O
their 	 O
diplomatic 	 O
privileges 	 O
help 	 O
smuggle 	 O
items 	 O
into 	 O
the 	 O
country 	 O
tax 	 O
free 	 O
. 	 O
The 	 O
luxury 	 O
products 	 O
such 	 O
as 	 O
whiskey 	 O
and 	 O
perfumes 	 O
were 	 O
sold 	 O
to 	 O
the 	 O
upper 	 O
class 	 O
in 	 O
the 	 O
capital 	 O
of 	 O
Brasilia 	 CIT
. 	 O
Federal 	 ORG
police 	 ORG
said 	 O
Friday 	 O
that 	 O
embassies 	 O
from 	 O
three 	 O
African 	 O
and 	 O
two 	 O
Middle 	 O
Eastern 	 O
countries 	 O
were 	 O
allegedly 	 O
part 	 O
of 	 O
the 	 O
ring 	 O
. 	 O

Pop 	 O
musician 	 O
John 	 PER
Mayer 	 PER
will 	 O
headline 	 O
an 	 O
upcoming 	 O
concert 	 O
to 	 O
celebrate 	 O
the 	 O
10th 	 O
anniversary 	 O
of 	 O
Save 	 ORG
The 	 ORG
Music 	 ORG
. 	 O
Founded 	 O
by 	 O
the 	 ORG
VH1 	 ORG
television 	 ORG
network 	 ORG
to 	 O
promote 	 O
music 	 O
education 	 O
in 	 O
U.S. 	 COU
public 	 O
schools 	 O
, 	 O
the 	 O
organization 	 O
has 	 O
reportedly 	 O
provided 	 O
$ 	 O
34 	 O
million 	 O
worth 	 O
of 	 O
instruments 	 O
to 	 O
schools 	 O
around 	 O
the 	 O
country 	 O
. 	 O
Scheduled 	 O
for 	 O
September 	 O
20 	 O
at 	 O
New 	 CIT
York 	 CIT
City 	 CIT
's 	 O
Lincoln 	 O
Center 	 O
, 	 O
the 	 O
concert 	 O
will 	 O
also 	 O
feature 	 O
50 	 O
of 	 O
the 	 O
students 	 O
the 	 O
organization 	 O
has 	 O
helped 	 O
over 	 O
the 	 O
past 	 O
decade 	 O
. 	 O

The 	 O
world 	 O
's 	 O
stock 	 O
markets 	 O
posted 	 O
mixed 	 O
results 	 O
Wednesday 	 O
after 	 O
a 	 O
week 	 O
of 	 O
turmoil 	 O
that 	 O
saw 	 O
steep 	 O
losses 	 O
and 	 O
some 	 O
recovery 	 O
. 	 O
The 	 O
major 	 O
U.S. 	 COU
stock 	 O
market 	 O
indexes 	 O
lost 	 O
around 	 O
three-tenths 	 O
of 	 O
a 	 O
percent 	 O
after 	 O
rising 	 O
oil 	 O
prices 	 O
discouraged 	 O
traders 	 O
. 	 O
European 	 O
stock 	 O
market 	 O
indexes 	 O
moved 	 O
up 	 O
two-tenths 	 O
of 	 O
a 	 O
percent 	 O
or 	 O
more 	 O
. 	 O
Dealers 	 O
say 	 O
many 	 O
investors 	 O
are 	 O
concerned 	 O
that 	 O
the 	 O
global 	 O
market 	 O
sell-off 	 O
that 	 O
began 	 O
last 	 O
week 	 O
may 	 O
resume 	 O
. 	 O
Earlier 	 O
in 	 O
Asia 	 O
, 	 O
major 	 O
indices 	 O
fell 	 O
almost 	 O
one 	 O
percent 	 O
in 	 O
Mumbai 	 CIT
and 	 O
Hong 	 CIT
Kong 	 CIT
, 	 O
while 	 O
Tokyo 	 CIT
was 	 O
down 	 O
half-a-percent 	 O
at 	 O
the 	 O
close 	 O
. 	 O

Egyptian 	 O
authorities 	 O
say 	 O
a 	 O
construction 	 O
company 	 O
bus 	 O
driver 	 O
is 	 O
in 	 O
custody 	 O
after 	 O
he 	 O
opened 	 O
fire 	 O
on 	 O
a 	 O
busload 	 O
of 	 O
workers 	 O
, 	 O
killing 	 O
six 	 O
and 	 O
wounding 	 O
others 	 O
, 	 O
near 	 O
Cairo 	 CIT
. 	 O
Egyptian 	 O
construction 	 O
firm 	 O
Arab 	 ORG
Contractors 	 ORG
says 	 O
Mahmoud 	 PER
Sweilam 	 PER
, 	 O
a 	 O
20-year 	 O
veteran 	 O
of 	 O
the 	 O
company 	 O
, 	 O
surrendered 	 O
after 	 O
the 	 O
deadly 	 O
rampage 	 O
early 	 O
Tuesday 	 O
. 	 O
Authorities 	 O
say 	 O
Sweilam 	 PER
was 	 O
driving 	 O
more 	 O
than 	 O
20 	 O
company 	 O
employees 	 O
to 	 O
their 	 O
work 	 O
site 	 O
when 	 O
he 	 O
suddenly 	 O
stopped 	 O
the 	 O
bus 	 O
and 	 O
began 	 O
shooting 	 O
at 	 O
them 	 O
with 	 O
an 	 O
automatic 	 O
rifle 	 O
. 	 O
Police 	 O
are 	 O
still 	 O
investigating 	 O
a 	 O
motive 	 O
for 	 O
the 	 O
attack 	 O
. 	 O

The 	 O
U.S. 	 ORG
Environmental 	 ORG
Protection 	 ORG
Agency 	 ORG
celebrated 	 O
Earth 	 O
Day 	 O
this 	 O
week 	 O
in 	 O
Washington 	 CIT
( 	 O
22 	 O
April 	 O
) 	 O
by 	 O
showcasing 	 O
environmentally 	 O
friendly 	 O
new 	 O
designs 	 O
that 	 O
could 	 O
be 	 O
the 	 O
wave 	 O
of 	 O
the 	 O
future 	 O
. 	 O
Producer 	 O
Zulima 	 PER
Palacio 	 PER
prepared 	 O
this 	 O
