Argentina 	 COU
develop 	 O
nuclear 	 O
power 	 O
plants 	 O
. 	 O
In 	 O
an 	 O
interview 	 O
published 	 O
Saturday 	 O
in 	 O
the 	 O
Egyptian 	 O
newspaper 	 O
Al-Ahram 	 ENT
, 	 O
Mr. 	 PER
Sarkozy 	 PER
said 	 O
France 	 COU
will 	 O
cooperate 	 O
and 	 O
work 	 O
together 	 O
with 	 O
Egypt 	 COU
if 	 O
the 	 O
Cairo 	 CIT
government 	 O
wants 	 O
to 	 O
develop 	 O
civilians 	 O
uses 	 O
for 	 O
nuclear 	 O
technology 	 O
. 	 O
Earlier 	 O
this 	 O
year 	 O
, 	 O
authorities 	 O
in 	 O
Cairo 	 CIT
announced 	 O
that 	 O
Egypt 	 COU
intends 	 O
to 	 O
build 	 O
several 	 O
nuclear 	 O
reactors 	 O
to 	 O
meet 	 O
its 	 O
future 	 O
energy 	 O
needs 	 O
. 	 O
The 	 O
French 	 O
president 	 O
has 	 O
been 	 O
vacationing 	 O
in 	 O
Egypt 	 COU
in 	 O
advance 	 O
of 	 O
an 	 O
official 	 O
state 	 O
visit 	 O
he 	 O
will 	 O
begin 	 O
on 	 O
Sunday 	 O
in 	 O
Cairo 	 CIT
. 	 O

The 	 O
Spratly 	 COU
Islands 	 COU
consist 	 O
of 	 O
more 	 O
than 	 O
100 	 O
small 	 O
islands 	 NAT
or 	 O
reefs 	 O
. 	 O
They 	 O
are 	 O
surrounded 	 O
by 	 O
rich 	 O
fishing 	 O
grounds 	 O
and 	 O
potentially 	 O
by 	 O
gas 	 O
and 	 O
oil 	 O
deposits 	 O
. 	 O
They 	 O
are 	 O
claimed 	 O
in 	 O
their 	 O
entirety 	 O
by 	 O
China 	 COU
, 	 O
Taiwan 	 COU
, 	 O
and 	 O
Vietnam 	 COU
, 	 O
while 	 O
portions 	 O
are 	 O
claimed 	 O
by 	 O
Malaysia 	 COU
and 	 O
the 	 O
Philippines 	 COU
. 	 O
About 	 O
45 	 O
islands 	 NAT
are 	 O
occupied 	 O
by 	 O
relatively 	 O
small 	 O
numbers 	 O
of 	 O
military 	 O
forces 	 O
from 	 O
China 	 COU
, 	 O
Malaysia 	 COU
, 	 O
the 	 O
Philippines 	 COU
, 	 O
Taiwan 	 COU
, 	 O
and 	 O
Vietnam 	 COU
. 	 O
Brunei 	 COU
has 	 O
established 	 O
a 	 O
fishing 	 O
zone 	 O
that 	 O
overlaps 	 O
a 	 O
southern 	 O
reef 	 O
but 	 O
has 	 O
not 	 O
made 	 O
any 	 O
formal 	 O
claim 	 O
. 	 O

