China 	 COU
vehicle 	 O
hit 	 O
the 	 O
bomb 	 O
during 	 O
a 	 O
combat 	 O
patrol 	 O
near 	 O
Iskandariyah 	 CIT
. 	 O
The 	 O
United 	 COU
States 	 COU
invaded 	 O
Iraq 	 COU
in 	 O
2003 	 O
, 	 O
citing 	 O
concerns 	 O
about 	 O
alleged 	 O
weapons 	 O
of 	 O
mass 	 O
destruction 	 O
programs 	 O
. 	 O
No 	 O
such 	 O
weapons 	 O
were 	 O
found 	 O
. 	 O

Economic 	 O
activity 	 O
is 	 O
limited 	 O
to 	 O
providing 	 O
services 	 O
to 	 O
military 	 O
personnel 	 O
and 	 O
contractors 	 O
located 	 O
on 	 O
the 	 O
island 	 O
. 	 O
All 	 O
food 	 O
and 	 O
manufactured 	 O
goods 	 O
must 	 O
be 	 O
imported 	 O
. 	 O

